flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,sourceTransportPort,destinationTransportPort,protocolIdentifier,"apply(packetTotalCount,forward)","apply(octetTotalCount,forward)","apply(min(ipTotalLength),forward)","apply(mean(ipTotalLength),forward)","apply(max(ipTotalLength),forward)","apply(stdev(ipTotalLength),forward)","apply(min(_interPacketTimeSeconds),forward)","apply(mean(_interPacketTimeSeconds),forward)","apply(max(_interPacketTimeSeconds),forward)","apply(stdev(_interPacketTimeSeconds),forward)","apply(tcpSynTotalCount,forward)","apply(tcpAckTotalCount,forward)","apply(tcpFinTotalCount,forward)","apply(_tcpCwrTotalCount,forward)","apply(packetTotalCount,backward)","apply(octetTotalCount,backward)","apply(min(ipTotalLength),backward)","apply(mean(ipTotalLength),backward)","apply(max(ipTotalLength),backward)","apply(stdev(ipTotalLength),backward)","apply(min(_interPacketTimeSeconds),backward)","apply(mean(_interPacketTimeSeconds),backward)","apply(max(_interPacketTimeSeconds),backward)","apply(stdev(_interPacketTimeSeconds),backward)","apply(tcpSynTotalCount,backward)","apply(tcpAckTotalCount,backward)","apply(tcpFinTotalCount,backward)","apply(_tcpCwrTotalCount,backward)",Attack,Label
1499428790315,728909,192.168.10.50,192.168.10.3,56108,3268,6,239,58642,52,245.36401673640168,455,192.916855545455,0.0,2.9663865546218484,16.0,5.9312983374711905,0,239,1,0,127,18988,40.0,149.51181102362204,292.0,61.51872422946648,0.0,5.603174603174603,16.0,7.19786564484708,0,127,0,0,Normal,0
1499428790316,696908,192.168.10.50,192.168.10.3,42144,389,6,214,53562,52,250.28971962616825,455,200.0755730150283,0.0,3.164319248826291,16.0,6.037324483284575,0,214,0,0,107,41462,40.0,387.4953271028036,1225.0,129.61535066843518,0.0,6.358490566037736,16.0,7.2862410182549295,0,107,0,0,Normal,0
1499428790639,181794,fe80::6d07:ea13:6f73:ed41,ff02::1:2,546,547,17,104,15704,111,111.0,111,0.0,0.0,1.7572815533980584,86.0,9.63395345661708,0,0,0,0,0,0,,,,,,,,,0,0,0,0,Normal,0
1499453791796,10467,172.16.0.1,192.168.10.50,49533,80,6,7,312,40,44.57142857142857,60,8.141603913585717,0.0,1.6666666666666667,10.0,4.08248290463863,1,6,0,0,6,11847,40.0,1974.5,4420.0,1756.4753058326778,0.0,0.0,0.0,0.0,1,6,1,0,DDoS:LOIT,1
1499456885030,10338,192.168.10.15,144.76.203.221,60927,80,6,6,620,40,103.33333333333331,408,149.3327380940518,0.0,1.8,9.0,4.024922359499621,1,5,1,0,5,969,40.0,193.8,797.0,337.23908433039014,0.0,2.25,9.0,4.5,1,5,1,0,Normal,0
1499456885030,31,192.168.10.15,192.168.10.3,54062,53,17,4,240,60,60.0,60,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,588,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Normal,0
1499456885030,0,192.168.10.15,192.168.10.3,50321,53,17,2,104,52,52.0,52,0.0,0.0,0.0,0.0,,0,0,0,0,2,136,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0,0,0,0,Normal,0
1499453791834,10429,172.16.0.1,192.168.10.50,49535,80,6,7,312,40,44.57142857142857,60,8.141603913585717,0.0,1.6666666666666667,10.0,4.08248290463863,1,6,0,0,6,11847,40.0,1974.5,5880.0,2538.922113811292,0.0,0.0,0.0,0.0,1,6,1,0,DDoS:LOIT,1
1499262203194,3,172.16.0.1,192.168.10.50,50750,80,6,7,720,52,102.85714285714286,400,131.0615994757536,0.0,0.0,0.0,0.0,1,6,1,0,8,12019,52.0,1502.375,4396.0,1731.0553294367655,0.0,0.0,0.0,0.0,1,8,1,0,DoS / DDoS:DoS Hulk,1
1499453791796,10467,172.16.0.1,192.168.10.50,49533,80,6,7,312,40,44.57142857142857,60,8.141603913585717,0.0,1.6666666666666667,10.0,4.08248290463863,1,6,0,0,6,11847,40.0,1974.5,4420.0,1756.475305832678,0.0,0.0,0.0,0.0,1,6,1,0,DDoS:LOIT,1
