flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,sourceTransportPort,destinationTransportPort,protocolIdentifier,"apply(packetTotalCount,forward)","apply(octetTotalCount,forward)","apply(min(ipTotalLength),forward)","apply(mean(ipTotalLength),forward)","apply(max(ipTotalLength),forward)","apply(stdev(ipTotalLength),forward)","apply(min(_interPacketTimeSeconds),forward)","apply(mean(_interPacketTimeSeconds),forward)","apply(max(_interPacketTimeSeconds),forward)","apply(stdev(_interPacketTimeSeconds),forward)","apply(tcpSynTotalCount,forward)","apply(tcpAckTotalCount,forward)","apply(tcpFinTotalCount,forward)","apply(_tcpCwrTotalCount,forward)","apply(packetTotalCount,backward)","apply(octetTotalCount,backward)","apply(min(ipTotalLength),backward)","apply(mean(ipTotalLength),backward)","apply(max(ipTotalLength),backward)","apply(stdev(ipTotalLength),backward)","apply(min(_interPacketTimeSeconds),backward)","apply(mean(_interPacketTimeSeconds),backward)","apply(max(_interPacketTimeSeconds),backward)","apply(stdev(_interPacketTimeSeconds),backward)","apply(tcpSynTotalCount,backward)","apply(tcpAckTotalCount,backward)","apply(tcpFinTotalCount,backward)","apply(_tcpCwrTotalCount,backward)",Attack,Label
1499262203308,163,172.16.0.1,192.168.10.50,51246,80,6,6,670,52,111.66666666666669,402,142.26969693742467,0.0,0.0,0.0,0.0,1,5,0,0,6,11915,52.0,1985.8333333333333,4396.0,1976.2516455822797,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203308,165,172.16.0.1,192.168.10.50,51242,80,6,6,691,40,115.16666666666669,435,156.81634693700354,0.0,0.0,0.0,0.0,1,4,1,0,5,11863,52.0,2372.6,10188.0,4413.316870563454,0.0,0.0,0.0,0.0,1,5,1,0,DoS / DDoS:DoS Hulk,1
1499262203308,162,172.16.0.1,192.168.10.50,51244,80,6,5,592,52,118.4,376,144.04443758784993,0.0,0.0,0.0,0.0,1,4,1,0,7,11967,52.0,1709.571428571429,5844.0,2119.6927337975862,0.0,0.0,0.0,0.0,1,7,1,0,DoS / DDoS:DoS Hulk,1
1499262203309,166,172.16.0.1,192.168.10.50,51248,80,6,6,629,52,104.83333333333331,361,125.53631612671556,0.0,0.0,0.0,0.0,1,5,0,0,6,11915,52.0,1985.8333333333333,4396.0,1753.071637631123,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203309,0,172.16.0.1,192.168.10.50,50948,80,6,1,40,40,40.0,40,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,DoS / DDoS:DoS Hulk,1
1499262203309,165,172.16.0.1,192.168.10.50,51250,80,6,7,689,52,98.42857142857144,369,119.34803048627312,0.0,0.0,0.0,0.0,1,6,0,0,6,11915,52.0,1985.8333333333333,4396.0,1976.2516455822797,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203309,11,192.168.10.50,172.16.0.1,80,50948,6,1,52,52,52.0,52,,,,,,0,1,0,0,1,40,40.0,40.0,40.0,,,,,,0,0,0,0,Normal,0
1499262203310,369,172.16.0.1,192.168.10.50,51254,80,6,10,1272,52,127.2,424,156.44722219756198,0.0,0.0,0.0,0.0,1,9,0,0,6,11915,52.0,1985.8333333333333,5844.0,2179.5924771999616,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203310,165,172.16.0.1,192.168.10.50,51252,80,6,6,659,52,109.83333333333331,391,137.78013886865793,0.0,0.0,0.0,0.0,1,5,0,0,6,11915,52.0,1985.8333333333333,5844.0,2179.5924771999616,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203310,11,192.168.10.50,172.16.0.1,80,50962,6,1,52,52,52.0,52,,,,,,0,1,0,0,1,40,40.0,40.0,40.0,,,,,,0,0,0,0,Normal,0
1499262203311,373,172.16.0.1,192.168.10.50,51256,80,6,7,968,40,138.28571428571428,356,148.84187838745103,0.0,0.0,0.0,0.0,1,5,1,0,7,11967,52.0,1709.571428571429,5844.0,1946.5062596990588,0.0,0.0,0.0,0.0,1,7,1,0,DoS / DDoS:DoS Hulk,1
1499262203311,166,172.16.0.1,192.168.10.50,51258,80,6,6,697,52,116.16666666666669,429,153.28981266433416,0.0,0.0,0.0,0.0,1,5,0,0,6,11915,52.0,1985.8333333333333,4396.0,1976.2516455822797,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203312,589,172.16.0.1,192.168.10.50,51260,80,6,8,1483,52,185.375,405,181.8868859640911,0.0,0.0,0.0,0.0,1,7,0,0,6,11915,52.0,1985.8333333333333,5844.0,2532.833229146101,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203312,589,172.16.0.1,192.168.10.50,51262,80,6,8,1276,40,159.5,340,149.56603892595405,0.0,0.0,0.0,0.0,1,6,1,0,6,11915,52.0,1985.8333333333333,7292.0,2844.7508443915904,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203988,0,192.168.10.50,172.16.0.1,80,51644,6,1,52,52,52.0,52,,,,,,0,1,0,0,1,40,40.0,40.0,40.0,,,,,,0,0,0,0,Normal,0
1499262203988,138,172.16.0.1,192.168.10.50,53208,80,6,6,674,52,112.33333333333331,406,143.90228165900172,0.0,0.0,0.0,0.0,1,5,0,0,4,11811,52.0,2952.75,11647.0,5796.167893531036,0.0,0.0,0.0,0.0,1,4,1,0,DoS / DDoS:DoS Hulk,1
1499262203991,141,172.16.0.1,192.168.10.50,53210,80,6,6,656,40,109.33333333333331,400,142.54075440612297,0.0,0.0,0.0,0.0,1,4,1,0,7,11967,52.0,1709.571428571429,5844.0,1946.5062596990588,0.0,0.0,0.0,0.0,1,7,1,0,DoS / DDoS:DoS Hulk,1
1499262203992,138,172.16.0.1,192.168.10.50,53212,80,6,8,743,52,92.875,371,112.4143324619114,0.0,0.0,0.0,0.0,1,7,0,0,6,11915,52.0,1985.8333333333333,4396.0,1753.071637631123,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203992,139,172.16.0.1,192.168.10.50,53214,80,6,6,695,52,115.83333333333331,427,152.4734949644254,0.0,0.0,0.0,0.0,1,5,0,0,6,11915,52.0,1985.8333333333333,5844.0,2179.5924771999616,0.0,0.0,0.0,0.0,1,6,1,0,DoS / DDoS:DoS Hulk,1
1499262203992,8,192.168.10.50,172.16.0.1,80,52912,6,1,52,52,52.0,52,,,,,,0,1,0,0,1,40,40.0,40.0,40.0,,,,,,0,0,0,0,Normal,0
